ProteinID,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10
P04637,1200,1250,1180,1220,1240,450,480,420,460,490
P00533,850,870,830,860,880,1200,1250,1180,1220,1240
P15056,780,760,790,770,750,920,940,910,930,950
P03372,950,970,940,960,980,650,670,640,660,680
P10275,680,660,690,670,650,950,970,940,960,980
P06401,550,570,540,560,580,780,760,790,770,750
P11388,920,940,910,930,950,550,570,540,560,580
P04626,450,480,420,460,490,850,870,830,860,880
P24941,1250,1220,1240,1200,1180,680,660,690,670,650
P42336,760,790,770,750,780,920,940,910,930,950
